iter	Logloss
123	0.584849271
124	0.5847432217
125	0.5846004522
126	0.5844878068
127	0.5843624312
128	0.5842353975
129	0.5840980409
130	0.5840030333
131	0.5839341208
132	0.5838318046
133	0.5836369681
134	0.5834959519
135	0.5834126272
136	0.5832543014
137	0.5831249077
138	0.5830343241
139	0.5829744281
140	0.5828711575
141	0.5826741187
142	0.5825836755
143	0.5824801199
144	0.5823620703
145	0.5822571739
146	0.5821022486
147	0.5819853994
148	0.5817910055
149	0.5816404266
150	0.5815397103
151	0.5814429473
152	0.5813557708
153	0.5812638141
154	0.5811882083
155	0.581086896
156	0.5809175457
157	0.5808260769
158	0.5807246416
159	0.5805936999
160	0.5803768814
161	0.580258497
162	0.5801648086
163	0.5800838634
164	0.5799834817
165	0.5798647627
166	0.5798004038
167	0.5797113402
168	0.5796151408
169	0.5794854578
170	0.579334339
171	0.5792271216
172	0.5791333318
173	0.5790227591
174	0.5788492784
175	0.5787685058
176	0.5787242785
177	0.5785891783
178	0.5785381281
179	0.5784197265
180	0.5783399817
181	0.5782514752
182	0.5781669652
183	0.5780071323
184	0.5779320879
185	0.5778365945
186	0.5777827893
187	0.5777149239
188	0.5776628979
189	0.5775903688
190	0.5775184767
191	0.5774335328
192	0.5773430312
193	0.5772890684
194	0.5771755529
195	0.5770802473
196	0.5770224478
197	0.5769068854
198	0.576857623
199	0.5767602684
200	0.5766645699
201	0.5765559599
202	0.5764758458
203	0.5764127046
204	0.5763731151
205	0.5762980944
206	0.5761950182
207	0.5761085434
208	0.5760193395
209	0.5759391996
210	0.5758569567
211	0.5757946727
212	0.575719896
213	0.5756193481
214	0.5755620775
215	0.5754041014
216	0.5753317149
217	0.5752587087
218	0.5751841306
219	0.5750390574
220	0.5749379266
221	0.5748495086
222	0.5747914651
223	0.5746493779
224	0.5745466774
225	0.5744673083
226	0.5744042124
227	0.5743502561
228	0.5742685379
229	0.5741793771
230	0.5740331704
231	0.5739077214
232	0.5738106044
233	0.5737463987
234	0.5736812452
235	0.5735926869
236	0.5734997153
237	0.5734002189
238	0.5732954802
239	0.5732305707
240	0.5731027877
241	0.5730373384
242	0.5729468714
243	0.572886034
244	0.572798037
245	0.572739458
246	0.572687229
247	0.5726332317
248	0.5725327075
249	0.5724303179
250	0.572297176
251	0.5722080584
252	0.5720657791
253	0.5719597298
254	0.5718469419
255	0.5717695224
256	0.5716605238
257	0.5715364221
258	0.5714328924
259	0.5713495117
260	0.5712782889
261	0.5711089451
262	0.571014935
263	0.5709447292
264	0.5708588848
265	0.5707316049
266	0.5706188235
267	0.5704898616
268	0.5703242984
269	0.5702164635
270	0.5700910015
271	0.5699677786
272	0.5698284746
273	0.5697172542
274	0.5696089961
275	0.5695233612
276	0.5694191708
277	0.5693067068
278	0.569158952
279	0.5690358521
280	0.5689491463
281	0.5688036089
282	0.5686588812
283	0.5685660305
284	0.5684644462
285	0.568366377
286	0.5682646157
287	0.5681458254
288	0.5679811194
289	0.5678579396
290	0.5677788015
291	0.56767237
292	0.5675507923
293	0.5674556725
294	0.5673593629
295	0.5672715257
296	0.56718805
297	0.5670993837
298	0.5670243911
299	0.5669179056
300	0.5667973773
301	0.5666843799
302	0.5665591879
303	0.5664271773
304	0.5663261803
305	0.5662415343
306	0.5661238776
307	0.5659910531
308	0.5658774727
309	0.5658112181
310	0.5656996198
311	0.5656053874
312	0.5654902179
313	0.5653266908
314	0.5652031224
315	0.5650905611
316	0.5649637692
317	0.5648769835
318	0.5647636061
319	0.5646549767
320	0.5645666731
321	0.5644786826
322	0.5643844329
323	0.5642967015
324	0.5641725825
325	0.5640774216
326	0.5639748658
327	0.5638279228
328	0.5637072519
329	0.5635896751
330	0.5634864628
331	0.5633762529
332	0.5632707973
333	0.5631751247
334	0.5630305567
335	0.5629105142
336	0.5627820144
337	0.5626498138
338	0.5625471608
339	0.5624218586
340	0.562304068
341	0.562179392
342	0.5620614135
343	0.5619646549
344	0.5618564249
345	0.5617220522
346	0.5616506287
347	0.5615644907
348	0.5614614534
349	0.5613645911
350	0.5612563524
351	0.5611227096
352	0.5610327932
353	0.5609136704
354	0.5607628669
355	0.5606630445
356	0.560545785
357	0.5604514834
358	0.5603472175
359	0.5602493405
360	0.5601421684
361	0.5600160501
362	0.5599292925
363	0.5598130543
364	0.5597285162
365	0.5596510601
366	0.5595576545
367	0.55944882
368	0.5593057958
369	0.5592147264
370	0.5591232101
371	0.5590456136
372	0.5589524736
373	0.5588421471
374	0.5587702852
375	0.5586762902
376	0.5585861903
377	0.5584693238
378	0.5583660727
379	0.55828044
380	0.5581857778
381	0.5580777141
382	0.5579767279
383	0.5578868482
384	0.5577644392
385	0.5576860525
386	0.5575858133
387	0.557483685
388	0.5574080425
389	0.5573300768
390	0.5572056707
391	0.5571320405
392	0.557023601
393	0.5569091333
394	0.5568157839
395	0.5567382263
396	0.5566483271
397	0.5565659849
398	0.5564698545
399	0.556388024
400	0.5562811909
401	0.5561706679
402	0.5560887921
403	0.555999938
404	0.5558973151
405	0.5557818586
406	0.5556719574
407	0.5555183708
408	0.5554300327
409	0.5553176356
410	0.5552340842
411	0.5551355724
412	0.5550437711
413	0.5549640198
414	0.5548751851
415	0.5547826086
416	0.5547053252
417	0.554626321
418	0.5545302986
419	0.5544441088
420	0.5543458237
421	0.5542271219
422	0.5541515399
423	0.5540731122
424	0.5539818657
425	0.5538956825
426	0.5537990598
427	0.5536828519
428	0.5535776187
429	0.5534808946
430	0.5533769871
431	0.5532811871
432	0.5532072546
433	0.5531033104
434	0.553019744
435	0.5529247083
436	0.552843979
437	0.5527525533
438	0.5526744192
439	0.5526070073
440	0.5525131742
441	0.5524189094
442	0.5523323893
443	0.5522654847
444	0.5521690651
445	0.5520848638
446	0.5520047779
447	0.5519127153
448	0.5518531474
449	0.5517692291
450	0.5516894411
451	0.5516247583
452	0.5515573722
453	0.5514710421
454	0.5513879831
455	0.5512863966
456	0.551185933
457	0.5510702
458	0.550985988
459	0.5508989605
460	0.5507966507
461	0.5506870561
462	0.5505744539
463	0.5504833133
464	0.5503920301
465	0.5502831135
466	0.5502040682
467	0.5501264804
468	0.5500498901
469	0.5499717452
470	0.5498684876
471	0.5497861669
472	0.5496998606
473	0.5496221237
474	0.5495467036
475	0.5494841065
476	0.549402628
477	0.5493303731
478	0.549232278
479	0.5491791637
480	0.5491026597
481	0.5490111413
482	0.5489059923
483	0.5488388222
484	0.5487685451
485	0.5486699857
486	0.5486130088
487	0.5485386812
488	0.5484423479
489	0.548368871
490	0.5482705276
491	0.5481982577
492	0.5480945337
493	0.5480151214
494	0.5479221412
495	0.547838117
496	0.5477386012
497	0.5476421621
498	0.5475289812
499	0.5474588142
